"National
registration
identification/ Registration mark",Type of the Aircraft,Serial number/ S erial number,Owner of the Aircraft / Owner of the Aircraft,Operator of the Aircraft
ES - ACP,Bombardier CL-600-2D24,15242,Triangle Symber Leasing Designated Activity Company,Regional Jet OÜ
ES - ACN,Bombardier CL-600-2D24,15237,Triangle Symber Leasing Designated Activity Company,Regional Jet OÜ
ES - ATC,ATR 72-212A,1164,NAC Aviation 8 Limited,Regional Jet OÜ
ES - ATD,ATR 72-212A,1165,NAC Aviation 2 A/S,Regional Jet OÜ
ES - ATE,ATR 72-212A,1120,NAC Aviation 3 A/S,Regional Jet OÜ
ES - ATH,ATR 72-212A,1064,Celestial Aviation Trading 27 Limited,Regional Jet OÜ
ES - ATI,ATR 72-212A,1075,Celestial Aviation Trading 71 Limited,Regional Jet OÜ
ES - ATJ,ATR 72-212A,1056,Celestial Aviation Trading 27 Limited,Regional Jet OÜ
ES - ATG,ATR 72-212A,1121,NAC Aviation 2 A/S,Regional Jet OÜ
ES - LSA,GET SF340A,55,Airest AS,Airest AS
ES - LSB,GET SF340A,45,AS Skycap Investments,Skystream Airlines AS
ES - LSC,GET SF340A,37,Airest AS,Airest AS
ES - LSF,GET SF340A,144,Unmuzzled OÜ,Skystream Airlines AS
ES - LSG,GET SF340A,7,Airest AS,Airest AS
ES - LSH,GET SF340A,11,Airest AS,Airest AS
ES - LSI,GET SF340A,64,Airest AS,Airest AS
ES - NSB,GET SF340A,112,Alandia Air Ab,NyxAir OÜ
ES - NSC,CAN 340B,248,Alandia Air Ab,NyxAir OÜ
ES - NSD,CAN 340B,171,Alandia Air Ab,NyxAir OÜ
ES - NSE,It will be 2000,13,JAH32000-013 LLC,NyxAir OÜ
ES - NSF,It will be 2000,39,JAH2G-LGNT Ltd,NyxAir OÜ
ES - NSH,WILL GET 2000,41,JAH2G-LGNS Ltd,NyxAir OÜ
ES - NSI,WILL GET 2000,43,JAH32000-43 LLC,NyxAir OÜ
ES - NSK,CAN 340B,169,JAH3340B-169 LLC,Nyxair OÜ
ES - NSL,CAN 340B,162,Erik Thun AB,Nyxair OÜ
ES - NTA,ATR 42-500,655,EPL Finance Two Oy,Nyxair OÜ
ES - NTB,ATR 42-500,651,EPL Finance Oy,Nyxair OÜ
ES - PJA,Jetstream 3102,749,Airplane Holding OÜ,"JSC Aviation Company ""Transaviabaltika"""
ES - PJG,Jetstream 3100,701,Landmaster OÜ,Avies AS
ES - PJR,Jetstream 3200,949,GreenJet AS,JSC aviation company
ES - PVC,Learjet 31A,162,United Air OÜ,Panaviatic AS
ES - PVP,Learjet 60,302,BJet OÜ,Panaviatic AS
ES - III,Learjet 60,303,Jet Trade Limited,Panaviatic AS
ES - CMK,Beechjet 400A,RK-209,Nextant400 OÜ,Diamond Sky OÜ
ES - KLT,P.180,1066,LHV Bank AS,Diamond Sky OÜ
ES - PCG,Pilatus PC-6/B2-H4,950,LHV Bank AS,Estonian Parachute Club NGO
ES - SNK,Falcon 2000,223,Fort Aero Asia Limited,Fort Aero AS
ES - SLS,Falcon 900EX,264,Fort Aero Asia Limited,Fort Aero AS
ES - PHR,Hawker 750,HB-33,Jaguar Distribution Corp,Panaviatic AS
ES - PKY,Beech B300,FL-1037,Ministry of the Interior,Police and Border Guard Board
ES - TAC,Wilga -35A,17830694,Ridali Flying Club,Ridali Flying Club
ES - TAD,Wilga -35A,128433,Ridali Flying Club,Ridali Flying Club
ES - TAE,Wilga -35A,18840779,The first Aeronautical Club,The first Aeronautical Club
ES - TWG,Wilga -35A,18840781,Tallinn Aeroclub,Tallinn Aeroclub
ES - RAC,Wilga -35A,128435,Ridali Flying Club,Ridali Flying Club
ES - RAF,Wilga -35A,17820668,Ridali Flying Club,Ridali Flying Club
ES - RWE,Wilga -35A,17820681,Narva flight center,Narva flight center
ES - BAH,AN-2,1G17234,Airport OÜ,Estonian Aviation Club
ES - CAG,AN-2,1G16028,private person,Dropzone Estonian NGO
ES - CAC,AN-2,1G20645,Est Intelligence OÜ,private person
ES - CAN,AN-2,1G18727,Aero Agro OÜ,Military Parachute Club NGO
ES - ANS,Cessna 172R,17280581,private person,VLR OÜ
ES - PCO,Cessna 172R,17281181,Ministry of the Interior,Police and Border Guard Board
ES - ECF,Cessna 172R,17281519,Line Projekt OÜ,AS Pakker Avio
ES - ECG,Cessna F 172L,F172-0873,AS Pakker Avio,AS Pakker Avio
ES - ECL,Cessna 152,15281482,AS Pakker Avio,AS Pakker Avio
ES - ECP,Cessna 150M,15076454,Nordic Aviation Academy OÜ,Nordic Aviation Academy OÜ
ES - ECB,Cessna F 150J,452,OÜ BRD,OÜ BRD
ES - ECD,Cessna F 172G,1720254,private person,private person
ES - ECN,Cessna 150L,1500891,private person,private person
ES - ECI,Cessna A185F,18503201,Argo Trading OÜ,private person
ES - ECJ,Cessna 150L,15072707,private person,private person
ES - ECT,Cessna 150L,83,Baltic Avia OÜ,Baltic Avia OÜ
ES - ECY,Cessna 172R,17281530,Line Projekt OÜ,AS Pakker Avio
ES - ECX,Cessna 152,15283705,AS Pakker Avio,AS Pakker Avio
ES - FCC,Cessna 172M,17262412,AS Tackmer Air,AS Tackmer Air
ES - BHB,Beechcraft 35-C33,CD-1111,BRD OÜ / private person,BRD Ltd
ES - DON,Beech A36,E-2071,AS LHV Bank,Polegate OÜ
ES - COUNTRY,Cessna 208B,208B1279,Land Office,Land Office
ES - MCA,Cessna 510,510-0421,Alarair OÜ,Diamond Sky OÜ
ES - VCW,Cessna 172M,17260805,AS Pakker Avio,AS Pakker Avio
ES - ESP,Sonaca,28,AS LHV Bank,AS Pakker Avio
ES - ESR,Sonaca,29,AS LHV Bank,AS Pakker Avio
ES - EST,DV-1 Skylark,05/08,Mendex OÜ,Mendex OÜ
ES - FSR,Cirrus SR-22G3,22-3214,AS LHV Bank,Flug OÜ
ES - RZM,Extra NG,NG020,Sarto Holding OÜ,Sarto Holding OÜ
ES - GER,Diamond DA62,62.196,Cabfly GmbH,Diamond Sky OÜ
ES - WEATHER,Diamond DA62,62.169,Swartz Aviation BV,Diamond Sky OÜ
ES - KEN,Diamond DA62,62.043,Skinest Investeeringute OÜ,Diamond Sky OÜ
ES - TWN,Diamond DA62,62.155,Aeropeak OÜ,Diamond Sky OÜ
ES - FLG,PA-46R-350T,4692140,Flyg OÜ,Flyg OÜ
ES - EPG,PA-46-350P,4636539,GlobalPlus OÜ,GlobalPlus OÜ
ES - EPA,PA-31-310,31-7612088,AS Pakker Avio,AS Pakker Avio
ES - VBN,BN2B-20,2296,Prop Air OÜ,Diamond Sky OÜ
ES - VPM,PA-28-180,28-7505177,Prop Air OÜ / private person,Prop Air OÜ
ES - VSD,Viper SD-4,34,ME WaterConsult OÜ,private person
ES - ETI,RV-10,41505,Joosti Puhkemaja OÜ,Joosti Puhkemaja OÜ
ES - ETZ,"ZENAIR, CH 701 SP STOL",7-9893,NGO Tõutsi Lennuklubi,NGO Tõutsi Lennuklubi
ES - FPW,PA-28R-200,28-35289,Clear Prop OÜ,Clear Prop OÜ
ES - ACA,Aero Commander 500,803,Pro 4 Wireless OÜ,Pro 4 Wireless OÜ
ES - JPL,Yodel DR 1050,204,private person,private person
ES - VLE,Dyn Aero MCR-4S,102,Line Projekt OÜ,Ertel.ee OÜ
ES - RID,MS 894A,11939,Ridali Flying Club,Ridali Flying Club
ES - TEC,Tecnam P2010,26,Expertus Trade OÜ,Expertus Trade OÜ
ES - XKL,self-built,missing,private person,private person
ES - XIK,Savannah VG,08-04-51-713,private person,private person
ES - JKV,Airbus EC 130T2,8969,Giga AS,Diamond Sky OÜ
ES - SIL,Bell 206B,4583,Silberauto AS,Silberauto AS
ES - PWA,Agusta AW 139,31069,Ministry of the Interior,Police and Border Guard Board
ES - PWB,Agusta AW 139,31144,Ministry of the Interior,Police and Border Guard Board
ES - PWC,Agusta AW 139,31333,Ministry of the Interior,Police and Border Guard Board
ES - PSF,Sweitzer 269C,S - 1774,Estonian Aviation Academy,Pakker Avio AS
ES - HCS,Cabrio G2,1100,Konna OÜ,Konna OÜ
ES - ARM,Robinson R44,2654,Regalis OÜ,Regalis OÜ
ES - HRA,Robinson R44,2024,Aerocopter OÜ,Aerocopter OÜ
ES - HRB,Robinson R44,14175,Helicraft OÜ,Helicraft OÜ
ES - HRX,Robinson R44,14536,Regalis OÜ,Regalis OÜ
ES - HPK,Robinson R22,639,LHV Bank AS,Pakker Avio AS
ES - HGG,Robinson R44,14220,AS OG Elektra,AS OG Elektra
ES - HOG,EC130 T2,8236,AS OG Elektra,AS OG Elektra
ES - HEE,Enstrom 280FX,2005,Seminari KH OÜ,Seminari KH OÜ
ES - HEL,Enstrom 480B,5118,BMG Consult OÜ,Nordic Jet OÜ
,,,,
ES - GMR,autogyro,22074324,private person,private person
ES - GCE,autogyro,C00312,Line Projekt OÜ,Ertel.ee OÜ
ES - GXA,autogyro,FA11517181900002,Argo Aero Estonia OÜ,Argo Aero Estonia OÜ
ES - RAZ,L-39C,931523,Haapsalu Invest Grupp OÜ,Mada Air OÜ
ES - YLF,L-39C,433141,Apache-Lux Sarl,Apache Aviation
ES - TLH,L-39C,132042,Haapsalu Invest Grupp OÜ,Mada Air OÜ
ES - YLI,L-39C,433142,Apache Estonia OÜ,Apache Aviation
ES - YLN,L-39C,533637,Apache Estonia OÜ,Apache Aviation
ES - YLP,L-39C,533620,Apache-Lux Sarl,Apache Aviation
ES - YLR,L-39C,533628,Apache-Lux Sarl,Apache Aviation
ES - YLS,L-39C,533638,Apache-Lux Sarl,Apache Aviation
ES - YLX,L-39,432905,Apache-Lux Sarl,Apache Aviation
ES - TGV,L-39C,432845,Baltic Fighters OÜ,Sensation Fold
ES - TLB,L-39C,31824,Apache Estonia OÜ,Tradlux SA
ES - TLC,L-39C,533223,Apache Estonia OÜ,Apache Aviation
ES - TLF,L-39C,132114,Apache Estonia OÜ,Apache Aviation
ES - TLG,L-39C,131849,Apache Estonia OÜ,Apache Aviation
ES - TLN,L-39,530432,Albatros Aviation OÜ,Albatros Aviation OÜ
ES - TLS,L-39C,31826,Apache Estonia OÜ,Apache Aviation
ES - TLT,L-39C,433133,Apache Estonia OÜ,Apache Aviation
ES - TLU,L-39C,433131,Aerohooldus OÜ,Aerohooldus OÜ
ES - CLS,CTLS-LSA,F-13-01-03,laPolilla OÜ,laPolilla OÜ
ES - UCA,Icarus C42,0107-6367,Kujundaja OÜ,Kujundaja OÜ
ES - UCB,Icarus C42,0208-6469,Viljandi Flight Club,Viljandi Flight Club
ES - UBC,EV-97R,2002-1506,Tiivuline OÜ,Tiivuline OÜ
ES - UBD,EV-97R,2007-2922,Aniktima OÜ,private person
ES - UBK,Self-built/home built,PFA274-13385,Põhjala Pellet OÜ,Põhjala Pellet OÜ
ES - UBS,EV-97 SL,2010-3716,private person,private person
ES - UDG,912 Dragonfly,PAK-912-131,private person,private person
ES - UFM,UFM 13 Lambada,39/13,private person,private person
ES - ULM,Aeroprakt A-22,114,Estonian Aviation Museum,Estonian Aviation Museum
ES - UNU,Renegade Spirit,108,private person,private person
ES - URV,Challenger 2,CH2-0109-LSS LW-0155,private person,private person
ES - HAD,hot air balloon/ balloon,2152,Airventures OÜ,Airventures OÜ
ES - HAC,hot air balloon/ balloon,2251,Airventures OÜ,Airventures OÜ
ES - HAE,hot air balloon/ balloon,1943,Airventures OÜ,Airventures OÜ
ES - HAF,hot air balloon/ balloon,2633,Airventures OÜ,Airventures OÜ
ES - HAH,hot air balloon/ balloon,260292,private person,private person
ES - SHARK,hot air balloon/ balloon,10505,Aeroclub Airventures,Aeroclub Airventures OÜ
ES - HAK,hot air balloon/balloon,1369,Flying Club Prohibited Zone,Aeroclub Airventures OÜ
ES - HAL,hot air balloon/ balloon,HF076,Justkull OÜ,Lennulaev OÜ
ES - HAM,hot air balloon/balloon,10691,Selestre OÜ,Aeroclub Airventures OÜ
ES - HAS,hot air balloon/ balloon,270999,private person,private person
ES - HAT,hot air balloon/ balloon,4259,Aeroclub Airventures,Aeroclub Airventures OÜ
ES - WHETHER,motor hang glider / motor glider,R - 1205,private person,private person
ES - KAK,motor hang glider / motor glider,missing,private person,private person
ES - CAL,motor hang glider / motor glider,XT912-0194,private person,private person
ES - CAT,motor hang glider / motor glider,missing,private person,private person
ES - KAU,motor hang glider / motor glider,A04080-4079,private person,private person
ES - KIA,motor hang glider / motor glider,missing,private person,private person
ES - KIP,motor hang glider / motor glider,missing,private person,private person
ES - KMP,motor hang glider / motor glider,missing,private person,private person
ES - KMS,"self-built motodelta/
selfmade motoglider",missing,private person,private person
ES - KNB,motor hang glider / motor glider,43,private person,private person
ES - KVP,motor hang glider / motor glider,missing,private person,private person
ES - KEK,motor hang glider / motor glider,85,private person,private person
ES - KLN,motor hang glider / motor glider,missing,private person,private person
ES - KSH,motor hang glider / motor glider,8520,private person,private person
ES - WHERE,motor hang glider / motor glider,XT912-0196,private person,private person
ES - 1000,glider/ sailplane,653,Ridal Flying Club,Ridal Flying Club
ES - 1001,glider/ sailplane,6165,Ridal Flying Club,Ridal Flying Club
ES - 1002,glider/ sailplane,6156,Ridal Flying Club,Ridal Flying Club
ES - 1004,glider/ sailplane,B - 1454,Ridal Flying Club,Ridal Flying Club
ES - 1005,glider/ sailplane,B - 1225,Ridal Flying Club,Ridal Flying Club
ES - 1006,glider/ sailplane,B - 1164,Ridal Flying Club,Ridal Flying Club
ES - 1009,glider/ sailplane,B - 1702,Ridal Flying Club,Ridal Flying Club
ES - 1010,glider/ sailplane,15092,Ridal Flying Club,Ridal Flying Club
ES - 1019,glider/ sailplane,172307,private person,private person
EC - 2001,motor glider,26437,Viljandi Flight Club,Viljandi Flight Club
EC - 2010,glider/ sailplane,26951,Tallinn Aeroclub,Tallinn Aeroclub
EC - 2009,glider/ sailplane,B-1378,Ridal Flying Club,Ridal Flying Club
ES - 2030,glider/ sailplane,201B105,Tallinn Aeroclub,Tallinn Aeroclub
ES - 1602,glider/ sailplane,Sat - 05.22,Ridal Flying Club,Ridal Flying Club
ES-3008,glider/s ailplane,8,Tallinn Aeroclub,Tallinn Aeroclub
ES - 5075,powered sailplane,4481,private person,Ridal Flying Club
ES - 5423,glider/ sailplane,950318,Ridal Flying Club,Ridal Flying Club
ES - 5427,glider/glider,3627,Hektos Puit OÜ,Ridal Flying Club
ES - 5558,glider/glider,20855,private person,Ridal Flying Club
ES - 5832,glider/ sailplane,B-2027,Ridal Flying Club,Ridal Flying Club
ES-7110,glider/ sailplane,870207,Viljandi Flight Club NGO,Viljandi Flight Club NGO
ES - 8886,glider/ sailplane,7114,private person,private person
